question_text,category,question_type,options,correct_answer,points,answer_key
"Which data structure uses First-In, First-Out (FIFO)?",Advanced Programming,mcq,"Stack|Queue|Tree|Graph",Queue,5,
"What is the average time complexity of binary search on a sorted array?",Advanced Programming,mcq,"O(n)|O(log n)|O(n log n)|O(1)",O(log n),5,
"True or False: A linked list allows efficient insertion at the head compared to an array.",Advanced Programming,true_false,"True|False",True,5,
"Which keyword in Java is used to inherit a class?",Advanced Programming,mcq,"implements|extends|inherits|super",extends,5,
"Which principle of OOP allows a class to provide different implementations of the same method signature?",Advanced Programming,mcq,"Encapsulation|Abstraction|Polymorphism|Aggregation",Polymorphism,5,
"True or False: In recursion, every recursive function must have a base case.",Advanced Programming,true_false,"True|False",True,5,
"What does Big-O notation describe?",Advanced Programming,mcq,"Memory address of variables|Worst-case growth rate|Exact runtime in seconds|Compiler optimization level",Worst-case growth rate,5,
"Which sorting algorithm is generally fastest on average for large random datasets?",Advanced Programming,mcq,"Bubble Sort|Insertion Sort|Quick Sort|Selection Sort",Quick Sort,5,
"True or False: A hash table always guarantees O(1) worst-case search time.",Advanced Programming,true_false,"True|False",False,5,
"Which traversal visits nodes in the order Left, Root, Right?",Advanced Programming,mcq,"Preorder|Inorder|Postorder|Level-order",Inorder,5,
"Which concept hides internal implementation details and exposes only essential features?",Advanced Programming,mcq,"Inheritance|Encapsulation|Abstraction|Composition",Abstraction,5,
"True or False: Method overloading and method overriding are the same concept.",Advanced Programming,true_false,"True|False",False,5,
"In SQL, which clause is used to filter grouped results?",Advanced Programming,mcq,"WHERE|HAVING|ORDER BY|JOIN",HAVING,5,
"Which of the following is NOT a pillar of object-oriented programming?",Advanced Programming,mcq,"Encapsulation|Polymorphism|Normalization|Inheritance",Normalization,5,
"True or False: A min-heap always stores the smallest element at the root.",Advanced Programming,true_false,"True|False",True,5,
"Which graph algorithm is commonly used to find the shortest path in a weighted graph with non-negative edges?",Advanced Programming,mcq,"Depth-First Search|Breadth-First Search|Dijkstra's Algorithm|Kruskal's Algorithm",Dijkstra's Algorithm,5,
"What is the primary purpose of an interface in OOP?",Advanced Programming,mcq,"Store object state|Define a contract of methods|Replace constructors|Manage memory allocation",Define a contract of methods,5,
"True or False: Dynamic programming often stores intermediate results to avoid repeated computation.",Advanced Programming,true_false,"True|False",True,5,
"Which operation has O(1) average time in a stack?",Advanced Programming,mcq,"Insert at arbitrary index|Push|Search by value|Sort",Push,5,
"Which statement best describes encapsulation?",Advanced Programming,mcq,"Combining multiple classes into one file|Binding data and methods with access control|Creating many subclasses|Converting code to machine language",Binding data and methods with access control,5,
